id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh2060367,Bus,8.0,1.38,15,31,29,201,1
veh5721650,Bus,7.99,1.22,17,2,230,56,0
veh3096186,Bus,8.0,1.65,15,24,144,178,1
veh6092230,Bus,8.0,1.66,5,24,144,178,1
veh5342409,Bus,8.0,1.4,17,30,145,172,0
veh2060305,Bus,8.0,1.38,9,31,29,201,1
veh2810656,Bus,7.99,1.38,6,17,12,186,0
veh376693,Bus,8.0,1.23,11,45,207,33,0
veh6377221,Bus,8.0,1.55,8,4,144,41,1
veh472694,Bus,8.0,1.39,14,31,29,201,1
veh5248331,Bus,7.99,1.26,14,11,29,186,1
veh5721527,Bus,8.0,1.44,7,46,87,114,0
veh188432,Bus,8.0,1.39,19,31,29,201,1
veh1783651,Bus,7.99,1.34,6,17,12,186,0
veh3279513,Bus,8.0,1.7,13,54,144,117,0
veh3656953,Bus,8.0,1.66,9,22,174,48,1
veh5904161,Bus,8.0,1.16,4,6,87,41,1
veh472616,Bus,8.0,1.69,7,2,86,33,1
veh749478,Bus,8.0,1.4,10,51,29,56,0
veh1594287,Bus,8.0,1.74,19,32,86,59,0
veh1032153,Bus,8.0,1.55,9,26,87,56,1
veh3374231,Bus,8.0,1.66,17,24,144,178,1
veh5342444,Bus,7.98,1.21,19,45,207,33,0
veh5904172,Bus,8.0,1.36,6,11,29,186,1
veh94156,Bus,8.0,1.57,5,22,174,48,1
veh1688092,Bus,8.0,1.22,13,45,207,33,0
veh2810766,Bus,8.0,1.7,16,2,86,33,1
veh1966447,Bus,8.0,1.57,9,22,174,48,1
veh3468273,Bus,8.0,1.4,21,30,145,172,0
veh5721550,Bus,8.0,1.71,8,54,144,117,0
veh1310888,Bus,8.0,1.33,10,12,202,175,0
veh4502868,Bus,8.0,1.44,19,46,87,114,0
veh188309,Bus,7.99,1.15,8,6,87,41,1
veh5158917,Bus,8.0,1.49,14,15,4,178,0
veh3189748,Bus,8.0,1.38,22,32,27,201,0
veh282835,Bus,8.0,1.38,19,31,29,201,1
veh5342271,Bus,8.0,1.16,4,6,87,41,1
veh2622256,Bus,8.0,1.38,12,31,29,201,1
veh4030233,Bus,8.0,1.39,9,31,29,201,1
veh1310979,Bus,8.0,1.57,19,22,174,48,1
veh3468169,Bus,8.0,1.66,11,24,144,178,1
veh1594186,Bus,7.99,1.22,9,2,230,56,0
veh5158812,Bus,8.0,1.57,5,22,174,48,1
veh3563117,Bus,8.0,1.66,8,24,144,178,1
veh3657062,Bus,8.0,1.69,19,2,86,33,1
veh3846235,Bus,8.0,1.4,8,30,145,172,0
veh4502810,Bus,8.0,1.4,14,51,29,56,0
veh5342305,Bus,8.0,1.22,7,2,230,56,0
veh5721520,Bus,8.0,1.7,6,2,86,33,1
veh2343437,Bus,8.0,1.54,9,26,87,56,1
veh3657008,Bus,8.0,1.35,14,32,27,201,0
veh282748,Bus,8.0,1.74,10,32,86,59,0
veh282872,Bus,8.0,1.69,22,52,174,201,0
veh565791,Bus,8.0,1.55,13,22,174,48,1
veh5904244,Bus,8.0,1.71,11,54,144,117,0
veh1783782,Bus,8.0,1.55,18,26,87,56,1
veh2060280,Bus,8.0,1.74,7,32,86,59,0
veh5531468,Bus,8.0,1.16,4,6,87,41,1
veh472645,Bus,8.0,1.44,9,46,87,114,0
veh5531562,Bus,8.0,1.38,12,32,27,201,0
veh5065497,Bus,8.0,1.71,14,2,86,33,1
veh4502763,Bus,8.0,1.7,9,2,86,33,1
veh2154512,Bus,7.99,1.4,19,30,145,172,0
veh5626515,Bus,8.0,1.4,9,30,145,172,0
veh3752833,Bus,7.99,1.22,17,45,207,33,0
veh1032261,Bus,8.0,1.55,19,26,87,56,1
veh2716098,Bus,8.0,1.38,8,17,12,186,0
veh2439576,Bus,8.0,1.74,14,32,86,59,0
veh937627,Bus,7.98,1.22,13,45,207,33,0
veh4218841,Bus,8.0,1.38,22,31,29,201,1
veh3752717,Bus,8.0,1.66,7,24,144,178,1
veh2154369,Bus,7.99,1.38,6,32,27,201,0
veh2810662,Bus,8.0,1.55,7,22,174,48,1
veh5904334,Bus,8.0,1.23,19,45,207,33,0
veh843901,Bus,8.0,1.74,8,32,86,59,0
veh5721660,Bus,8.0,1.71,18,54,144,117,0
veh6377258,Bus,8.0,1.5,11,4,144,41,1
veh3935986,Bus,8.0,1.57,9,22,174,48,1
veh749538,Bus,8.0,1.69,16,52,174,201,0
veh5815099,Bus,8.0,1.39,15,31,29,201,1
veh4313514,Bus,8.0,1.39,22,17,12,186,0
veh2810778,Bus,8.0,1.65,17,24,144,178,1
veh2439555,Bus,8.0,1.39,12,31,29,201,1
veh1688137,Bus,7.98,1.21,17,2,230,56,0
veh1032099,Bus,7.99,1.16,4,6,87,41,1
veh2532468,Bus,8.0,1.38,12,31,29,201,1
veh4502848,Bus,8.0,1.33,17,12,202,175,0
veh1221864,Bus,8.0,1.4,21,30,145,172,0
veh94233,Bus,8.0,1.7,11,54,144,117,0
veh5436987,Bus,8.0,1.4,14,51,29,56,0
veh3096244,Bus,7.99,1.16,20,6,87,41,1
veh5626547,Bus,8.0,1.39,12,31,29,201,1
veh6470390,Bus,8.0,1.71,9,54,144,117,0
veh2343539,Bus,8.0,1.71,18,54,144,117,0
veh2249145,Bus,8.0,1.66,19,24,144,178,1
veh5342297,Bus,8.0,1.71,7,2,86,33,1
veh5158922,Bus,8.0,1.4,15,30,145,172,0
veh2999706,Bus,8.0,1.55,4,26,87,56,1
veh1032156,Bus,8.0,1.57,9,22,174,48,1
veh5904311,Bus,8.0,1.55,18,26,87,56,1
veh5158896,Bus,8.0,1.7,12,2,86,33,1
veh6281259,Bus,8.0,1.55,17,4,144,41,1
veh2999866,Bus,8.0,1.15,19,6,87,41,1
veh5342470,Bus,8.0,1.74,22,32,86,59,0
veh1127918,Bus,8.0,1.69,16,52,174,201,0
veh6281211,Bus,7.99,1.34,12,17,12,186,0
veh6560444,Bus,8.0,1.55,4,26,87,56,1
veh4875131,Bus,8.0,1.45,11,46,87,114,0
veh5626552,Bus,8.0,1.48,12,15,4,178,0
veh5998679,Bus,8.0,1.71,19,54,144,117,0
veh3374182,Bus,8.0,1.34,12,17,12,186,0
veh937722,Bus,8.0,1.39,22,51,29,56,0
veh2154502,Bus,8.0,1.55,18,4,144,41,1
veh4124008,Bus,7.99,1.34,8,17,12,186,0
veh844021,Bus,8.0,1.44,19,46,87,114,0
veh3096099,Bus,8.0,1.27,7,47,215,41,0
veh5904211,Bus,8.0,1.38,8,32,27,201,0
veh3935961,Bus,8.0,1.29,7,47,215,41,0
veh5248358,Bus,8.0,1.74,16,32,86,59,0
veh843946,Bus,8.0,1.39,12,31,29,201,1
veh472612,Bus,8.0,1.39,7,31,29,201,1
veh282764,Bus,8.0,1.4,12,51,29,56,0
veh6186781,Bus,7.99,1.21,9,2,230,56,0
veh3656956,Bus,8.0,1.55,9,4,144,41,1
veh282684,Bus,7.97,1.21,5,45,207,33,0
veh4409567,Bus,8.0,1.71,15,54,144,117,0
veh3096105,Bus,8.0,1.55,8,26,87,56,1
veh4218715,Bus,8.0,1.16,10,6,87,41,1
veh2716083,Bus,8.0,1.23,7,45,207,33,0
veh5248350,Bus,7.99,1.21,15,45,207,33,0
veh2905367,Bus,8.0,1.4,16,51,29,56,0
